"Crop","Season","Area-2020-21","Area-2021-22","Area-2022-23","Area-2023-24","Area-2024-25","Production-2020-21","Production-2021-22","Production-2022-23","Production-2023-24","Production-2024-25","Yield-2020-21","Yield-2021-22","Yield-2022-23","Yield-2023-24","Yield-2024-25"
"Urad","Summer","","","2.63","2.66","3.03","","","2.30","2.28","2.78","","","875.00","856.00","917.00"
"Urad","Total","41.43","46.33","40.02","35.36","30.23","22.30","27.76","26.31","23.19","21.06","538.00","599.00","657.00","656.00","697.00"
"Moong","Kharif","38.22","38.43","34.86","31.74","33.91","19.96","14.80","17.18","11.54","17.47","522.00","385.00","493.00","364.00","515.00"
"Moong","Rabi","13.08","17.08","1.50","1.38","1.34","10.89","16.86","1.10","1.01","0.98","833.00","987.00","730.00","733.00","733.00"
"Moong","Summer","","","19.10","18.74","20.47","","","18.48","18.47","19.74","","","968.00","985.00","964.00"
"Moong","Total","51.30","55.51","55.46","51.87","55.72","30.85","31.66","36.76","31.03","38.19","601.00","570.00","663.00","598.00","685.00"
"Lentil","Rabi","14.68","14.12","16.37","17.43","17.06","14.94","12.69","15.59","17.91","17.72","1017.00","899.00","952.00","1028.00","1038.00"
"Lentil","Total","14.68","14.12","16.37","17.43","17.06","14.94","12.69","15.59","17.91","17.72","1017.00","899.00","952.00","1028.00","1038.00"
"Other Pulses","Kharif","16.71","17.51","14.42","16.40","15.52","7.99","6.69","8.24","7.99","8.84","478.00","382.00","571.00","487.00","570.00"
"Other Pulses","Rabi","16.51","17.44","17.34","16.82","18.34","16.28","16.58","17.90","17.78","17.59","986.00","951.00","1032.00","1057.00","959.00"
"Other Pulses","Total","33.22","34.95","31.77","33.22","33.86","24.27","23.27","26.14","25.77","26.43","731.00","666.00","823.00","776.00","781.00"
"Total Pulses","Kharif","134.30","141.19","120.95","116.25","113.72","86.18","82.35","76.21","69.74","74.95","642.00","583.00","630.00","600.00","659.00"
"Total Pulses","Rabi","153.53","166.12","146.33","137.39","139.02","168.45","190.67","163.58","151.97","154.91","1097.00","1148.00","1118.00","1106.00","1114.00"
"Total Pulses","Summer","","","21.73","21.41","23.50","","","20.79","20.75","22.52","","","957.00","969.00","958.00"
"Total Pulses","Total","287.83","307.31","289.01","275.05","276.24","254.63","273.02","260.58","242.46","252.38","885.00","888.00","902.00","881.00","914.00"
"Total Food Grains","Kharif","724.42","728.96","706.96","706.39","731.42","1505.76","1553.64","1557.11","1557.68","1680.66","2079.00","2131.00","2203.00","2205.00","2298.00"
"Total Food Grains","Rabi","573.53","572.72","553.10","551.11","569.80","1601.65","1602.52","1578.41","1600.06","1672.16","2793.00","2798.00","2854.00","2903.00","2935.00"
"Total Food Grains","Summer","","","61.97","63.54","71.72","","","161.35","165.24","186.77","","","2603.00","2601.00","2604.00"
"Total Food Grains","Total","1297.95","1301.69","1322.04","1321.04","1372.94","3107.42","3156.16","3296.87","3322.98","3539.59","2394.00","2425.00","2494.00","2515.00","2578.00"
